train_loss,train_acc,val_loss,val_acc,lr
1.9908519944893748,0.16670764691418735,1.908482759187635,0.18527977710703505,0.0009984602081996976
1.9273225395867652,0.19178755839685271,1.9848052769214337,0.2300905502670072,0.0009938503261272714
1.8583696831856464,0.22342430948282926,1.9237622697419237,0.2716508010215928,0.0009861987752386395
1.7787293630216505,0.2897713302188345,1.6985364410034154,0.3125145112607383,0.0009755527298894294
1.6979226894275485,0.3328005901155643,1.6500672680445383,0.3533782214998839,0.0009619778264893878
1.652363587135116,0.35714285714285715,1.6705668751978116,0.3006733224982586,0.0009455577588320898
1.606229820199486,0.37775592164576677,2.2475960153367587,0.1871372184815417,0.0009263937620948692
1.57169179332695,0.3963609540201623,1.5219399079331009,0.4272115161365219,0.0009046039886902864
1.5269152979100007,0.416154413572658,1.6229952257139544,0.4181564894358022,0.0008803227798172156
1.4895586694970344,0.42971887550200805,2.090053897682298,0.3577896447643371,0.0008536998372026805
1.474228836553877,0.43652159659044343,1.5357063763762173,0.3680055723241235,0.0008248993001409269
1.4381612411884683,0.4524629128759938,1.4937797286877479,0.4091014627350824,0.0007940987335200904
1.4071826504914549,0.4645111056470781,1.4441302216520768,0.4211748316693754,0.0007614880330756164
1.3858240418195353,0.46987951807228917,1.3454474377360897,0.4905967030415603,0.0007272682546199036
1.3740752226074702,0.4751659700024588,1.3805597017778442,0.4527513350359879,0.0006916503744663624
1.3473684944663709,0.48549299237767396,1.3437960994805487,0.4722544694683074,0.0006548539886902863
1.3166782642796278,0.5022129333661175,1.2908151008868567,0.5154399814255862,0.0006171059592460248
1.298157970706573,0.5042619457421523,1.3275263580446706,0.5142790805665196,0.0005786390152875953
1.2534432127948434,0.519219736087206,1.3613511545353099,0.5049918736939866,0.0005396903183160585
1.2509316789958334,0.5251208917301861,1.2176390654918403,0.522405386579986,0.0005005
1.2149219144349137,0.5329890992541595,1.2446572911249447,0.5052240538657998,0.00046130968168394147
1.1971682117528755,0.5395459388574707,1.2775714241603093,0.5423728813559322,0.00042236098471240476
1.1558382823988802,0.5549135316777314,1.1580872138110618,0.5679127002553982,0.00038389404075397525
1.1301438270870872,0.5653634947955085,1.1515465304168992,0.5653587183654516,0.0003461460113097137
1.1252897743338122,0.5668797639537743,1.139780446440708,0.575574645925238,0.00030934962553363763
1.095493520173799,0.5719613146463405,1.101385948274372,0.589737636405851,0.00027373174538009633
1.0744539227175738,0.5820424555364314,1.1256693442459584,0.5706988623171582,0.0002395119669243835
1.051167137798115,0.5906483075157773,1.0916838727170086,0.5902019967494776,0.00020690126647990968
1.0312327018732634,0.5964675026637161,1.1154081768023045,0.6069189691200372,0.00017610069985907328
1.023225885230531,0.6009753298909926,1.1313219052167067,0.6066867889482238,0.0001473001627973195
0.9920416749673694,0.6115892139988526,1.09356698769551,0.62177850011609,0.0001206772201827845
0.9790981332548974,0.615687238750922,1.0849566364996888,0.6189923380543302,9.639601130971376e-05
0.9661464356133297,0.6210556511761331,1.065486685178494,0.6308335268168098,7.460623790513092e-05
0.9440819547514614,0.6278993525120892,1.0605035748619034,0.6264221035523566,5.544224116791026e-05
0.9439669460578489,0.6272026883042373,1.0545670893038954,0.62177850011609,3.902217351061226e-05
0.9270341260571351,0.634374231620359,1.0583592308821412,0.6315300673322498,2.54472701105708e-05
0.9155006513626065,0.6351118760757315,1.0620943471176985,0.6326909681913164,1.4801224761360556e-05
0.9140640144494311,0.6374887304319318,1.06306118828973,0.6315300673322498,7.149673872728737e-06
0.9144541461119329,0.6365871649864765,1.05556118020553,0.6294404457859298,2.539791800302582e-06
0.9031105396122475,0.6398655847881322,1.0536122060248325,0.6319944276758764,1e-06
