accuracy,loss,val_accuracy,val_loss,learning_rate
0.11420764774084091,2.0431268215179443,0.17105263471603394,8.50497817993164,0.0005000000237487257
0.14016392827033997,1.9996126890182495,0.1532507687807083,4.721278190612793,0.0005000000237487257
0.1251366138458252,2.014416456222534,0.12151702493429184,8.726865768432617,0.0005000000237487257
0.1252732276916504,2.02012300491333,0.15866872668266296,8.557134628295898,0.0005000000237487257
0.132103830575943,2.024441719055176,0.14783281087875366,4.256420612335205,0.0005000000237487257
0.09480874240398407,2.0109188556671143,0.13312692940235138,7.19350004196167,0.0005000000237487257
0.12377049028873444,2.0021533966064453,0.13467492163181305,3.836231231689453,0.0005000000237487257
0.12472677230834961,2.0113956928253174,0.13312692940235138,5.476553440093994,0.0005000000237487257
0.12950819730758667,1.9910242557525635,0.1702786386013031,6.775997638702393,0.0005000000237487257
0.10942623019218445,1.9874346256256104,0.14318884909152985,6.825267314910889,0.0005000000237487257
0.1109289601445198,1.9857838153839111,0.14318884909152985,6.09755802154541,0.0005000000237487257
0.10218579322099686,1.9714243412017822,0.1400928795337677,7.262137413024902,0.0002500000118743628
0.10013661533594131,1.985211730003357,0.24690403044223785,2.985200881958008,0.0002500000118743628
0.1076502725481987,1.977850079536438,0.13544891774654388,4.830930709838867,0.0002500000118743628
0.08893442898988724,2.0104568004608154,0.1377708911895752,3.7463603019714355,0.0002500000118743628
0.10355190932750702,1.992227554321289,0.12151702493429184,7.4318976402282715,0.0002500000118743628
0.11079234629869461,1.9909014701843262,0.13312692940235138,7.82456111907959,0.0002500000118743628
0.11161202192306519,1.9779216051101685,0.13080495595932007,5.503985404968262,0.0001250000059371814
0.10683060437440872,1.997625708580017,0.13544891774654388,4.784609794616699,0.0001250000059371814
0.10040983557701111,1.983642578125,0.13003095984458923,6.103387355804443,0.0001250000059371814
0.10587431490421295,1.9828734397888184,0.13467492163181305,4.134280681610107,0.0001250000059371814
