train_loss,train_acc,val_loss,val_acc
4.6827719958174745,0.12835512732278045,4.373947827475411,0.16285714285714287
4.203796539976116,0.18341362697866484,4.059855736323765,0.19714285714285715
3.9938408873939384,0.19924294562973158,3.85118098122733,0.22142857142857142
3.781646918528505,0.229525120440468,3.6936453574044363,0.22
3.638383733266317,0.23193392980041294,3.5219593783787317,0.26
3.4519625640456955,0.2663454920853407,3.364027797154018,0.2914285714285714
3.315963882294016,0.2838953888506538,3.2657138320377896,0.2885714285714286
3.2626790069992264,0.29112181693048866,3.1612866265433177,0.2985714285714286
3.1619480228883514,0.30626290433585684,3.1084577764783585,0.31
3.0416388785683197,0.31245698554714385,2.9716950961521693,0.3271428571428571
3.0148037813978203,0.31830695113558155,2.962386075428554,0.32857142857142857
2.910635145959244,0.3272539573296628,2.8832802976880756,0.3357142857142857
2.8621204188176868,0.33964211975223674,2.863574642453875,0.3385714285714286
2.7933393327105236,0.35030970406056433,2.7834108706883023,0.36
2.775839935560023,0.3620096352374398,2.7359996155330113,0.3657142857142857
2.7511943805980748,0.3571920165175499,2.73996306010655,0.36714285714285716
2.6684929988175856,0.3716448726772196,2.6987007372719902,0.37142857142857144
2.644752834061467,0.37715072264280797,2.6535734953199115,0.36857142857142855
2.6153648449319524,0.37818306951135583,2.65461774962289,0.38285714285714284
2.5908939625096172,0.39504473503097043,2.635228885923113,0.37714285714285717
2.53327707807852,0.3885065381968341,2.5814322117396764,0.38571428571428573
2.4691071738396033,0.40846524432209225,2.5849362577710835,0.39714285714285713
2.461692420679868,0.40364762560220235,2.578104837962559,0.39285714285714285
2.4444002396307236,0.4015829318651067,2.520326223373413,0.4
2.3734047644235146,0.428079834824501,2.5456238760266987,0.39714285714285713
2.4222012030528646,0.4146593255333792,2.5315932846069336,0.4057142857142857
2.3750451311766487,0.4150034411562285,2.4998333263397217,0.39714285714285713
2.3626161104059187,0.42601514108740535,2.466601253237043,0.4057142857142857
2.327958072864509,0.4318651066758431,2.4688723509652273,0.4142857142857143
2.273758217948761,0.4377150722642808,2.4523396383013045,0.41714285714285715
2.2636230080519884,0.45044735030970406,2.456195283617292,0.39714285714285713
2.2858775318366287,0.43702684101858225,2.4366944749014716,0.4185714285714286
2.2291569373399245,0.45044735030970406,2.430452974864415,0.4185714285714286
2.231764686575284,0.4497591190640055,2.420108014515468,0.4085714285714286
2.172424470073834,0.46249139710942877,2.4099440847124374,0.41714285714285715
2.166582150862944,0.4679972470750172,2.4163276726858958,0.4014285714285714
2.180916343814984,0.4580178940123882,2.431222505569458,0.41
2.1620401244941285,0.46937370956641433,2.3959888798849924,0.43
2.1561785838723755,0.46214728148657946,2.3787990610940115,0.4342857142857143
2.115615107811326,0.4741913282863042,2.4069157654898508,0.4057142857142857
2.1203365147072777,0.4769442532690984,2.376166259220668,0.4142857142857143
2.071186584681375,0.4796971782518926,2.401604927607945,0.4228571428571429
2.111583729735425,0.4745354439091535,2.417324296406337,0.4185714285714286
2.095773967314981,0.4738472126634549,2.4083300290788925,0.4114285714285714
2.0677061373007684,0.4858912594631796,2.378514051437378,0.4228571428571429
2.072769985474641,0.4858912594631796,2.3872493961879186,0.4228571428571429
